humid06:
------
98.3	61.5
98.4	59.5
96.9	91.7
84.2	46.6
91.8	42.6
87	37.2
88	43
84.4	32.3
64.8	45.2
87.3	50.7
95.1	60
96.8	69.1
86.7	68.1
95.7	69.4
98.4	73.6
100	47.7
97	44.6
88.9	41.5
94.2	33.3
78.5	41.8
84.7	42.9
89.9	51.2
89.9	53.8
95.2	46.8
95.2	58.2
96.9	49.5
95.3	58.9
97.1	60.4
97.2	62.1
94.5	61.7
96	58
94.7	52
94.9	59.8
97.4	60.2
97.5	76
98.6	59.7
97.4	61.9
88.7	63.8
90.9	64.2
95.2	66.6
90.7	52.3
97.3	51.8
97.4	64.4
96.3	61.9
97.5	64.4
95.1	48.3
90.5	51.9
87.9	64
97.7	71.1
89.4	71.1
85.8	68.3
84.6	61.1
93.5	60.1
87.9	66.9
91.6	56.4
93.5	58.7
95.7	38.6
84.3	32.8
66.5	67.5
67.1	45.5
74.4	37.9
73.4	44.7
79	42.6
76.4	43.4
76.1	30.9
67.1	34.6
60	35.2
64	40.9
78.3	89
93.2	91.1
84.4	63
88.7	70
85.2	64.3
89	86.9
84.6	57.4
74.9	43.2
73.9	56.9
88.3	53
77.9	65.9
79.1	57.7
79.1	47.5
77.3	47.5
83	45.3
70.9	34.4
70.6	33.5
68.4	42.2
64.3	31.7
65.7	36.2
66.5	42.8
78	42.5
70	45.3
73.9	51.8
71.1	42
70.9	54.4
72.8	60.1
77.2	80.6
80.3	80
86.4	57.3
85	69.3
94	69.6
76.8	33.6
63.6	30.9
70.6	20.4
55.2	20.7
59.9	39.8
60.3	23.3
63	45
95.6	91.4
95.4	58.4
75.6	56.3
73.2	52.1
78.1	91.8
80.7	61.4
79.1	43
76	58.8
81.9	88.1
76.5	70.9
71	57.8
70.8	44.2
66.4	47
87.8	70.7
73.6	63.4
90.5	45.8
68.1	55.3
65.9	66.2
77	72.5
71	74.5
94.4	74.6
85.2	70.5
83.1	86.6
89.2	82.4
90.1	64.8
81.9	90.6
82.9	64
69.5	72.4
73.8	69.2
75.5	60.3
70.1	81.8
64.4	75.2
75.2	75.8
92.5	78.7
74.9	81.4
78.2	73.3
79.6	82
78.3	73.8
80.7	72.9
97.2	67.8
76.3	76.9
83.6	68.3
80.8	61.9
77	60.9
83.8	72.5
91.3	79.5
70.7	84.9
86.6	77.3
76.9	73.5
82.8	91.6
89.8	87.5
75.3	74.5
76.7	70.4
90.1	76.4
82.2	76.8
77	61.9
71	60.2
73.8	45.3
69.3	63.8
68.4	58
69.6	68.7
69.8	57
70	55.9
68.6	68.3
75.8	57.3
70.2	91.5
96.4	77.1
95.7	80.3
88.2	71.2
83.9	79.7
81.3	74.7
62.8	81.2
94.6	66.2
81	71
70.4	80.2
75.7	69.1
85.9	88.8
74.7	76.6
73.5	72.9
80.5	77.3
90	87.2
83.6	78.8
83.9	84.3
84.5	85.7
75.5	91.7
81.9	91.6
94	78.8
74.7	79.9
75.8	73.5
85.4	86.7
91.9	91.4
79.9	90.4
89.9	90.5
81.7	91.7
75.8	77.1
82.4	70.7
80.3	83.7
96.4	77.3
91.6	74.2
87.6	82.6
85	70.7
91.5	74.7
82.4	86.8
79.4	72
75.8	77.1
76.9	79.8
91.3	71
86.6	69.4
89.9	73.5
74	86.6
86.6	80.5
91.2	73.1
73.4	80.1
76.8	65.3
76.9	77.3
77.2	72.4
77.4	82.6
79.7	69.1
88.1	75.3
87.3	91.4
85.2	89.7
78.7	69.7
76.4	69.5
80.8	95.6
83.9	76
88.5	90.8
81	73.7
83.8	82.5
80	89.9
90.7	80
96.6	83.9
94.7	81.2
96.5	86.9
80.9	89.9
94.8	79.6
77.8	89.8
80.9	88.4
78.1	76.1
89.7	81
79.1	82.2
82.2	76.8
80.3	79.3
82	69.6
86.4	91.6
95.5	86.1
96.3	88.1
88	83.6
90.3	75.5
93	70.1
83.5	71.4
81.8	74.3
92.7	75.4
83.3	72.7
81.8	77.1
79.4	83.1
91.3	69.7
96.5	86.3
87.9	89.4
94.6	83.5
94.6	94.5
93.3	94.4
90.7	80.4
94.7	72.5
86.6	83.9
86.4	74.1
91	82.2
94.6	70.4
81	76
87.1	74.3
89.4	95.5
79.5	62.8
88.9	75.9
82.6	75.5
87.6	74.6
96.2	69.2
92.8	90.6
85.8	81.6
89.2	75.8
85.7	81.2
84.1	79.6
98	75.6
93.9	78.4
93.9	75
90.4	77.5
82.3	78.7
92	92.5
96.6	84.4
91.7	73.7
94.4	66.3
83	63.3
85.6	63.5
88.1	62.5
81.1	63.9
93.2	64.1
94.3	67.9
97.8	82
89.7	68.5
95.5	63.1
83	67.4
89.7	71.4
89.7	72.1
89.7	78.2
93.6	73.3
93.5	73.5
88.7	79
94.6	72.2
89.6	71
94.6	68.6
89.2	80.5
95.4	74.1
95.5	80.8
96.5	71
93.5	72.8
85	72.1
97.7	67.4
96.3	89
91.1	78.1
89	81
89	82.2
90.7	70.9
92.6	61.4
97.4	73.6
97.2	63.8
93.3	77.8
92.4	72.2
94.7	78.4
97.2	62.8
97.1	64.2
97.2	69.1
92.1	80.7
97.3	70.4
87.2	71.1
97.4	70.9
97.3	70.9
100	70
97.1	75.5
97.1	71.8
97.2	96
100	77.4
100	74.2
97.3	76.3
100	67.3
97.1	66.7
97.1	65.4
95.8	64.5
97.3	70.6
97.2	65
97.3	68.4
91.9	70.7
97.1	64.4
91	64
97.2	91.7
100	78.6
97.3	72.7
94.9	78.4
90.1	78.4
97.3	73.6
97.3	73.6
