temp06	
------
21.4	0.5
23.7	1.1
23.7	1.5
24	0.5
26	0.1
25.2	1
24.5	1.5
24.3	0.7
23.9	0
21.4	0.1
22.5	1.4
21.4	2
20	3.9
18.5	3.7
18.6	3
19.6	3.8
23.2	2.3
23.4	4.2
25	3.5
24.6	2.4
23.3	1.6
23.7	1
21.5	1
19.7	1
19.5	1.2
20.4	1.5
20.7	2
21.3	3
22.6	4
20.4	4.8
24.2	5
24.8	5.4
23.2	6.6
23.8	6.2
22.4	7.4
24	5
23	6.9
23.6	9.5
22	11.2
21.5	9.4
22.6	9.8
24	6.2
24.7	6.6
24.3	9.2
24.2	7.4
24.2	8.6
25.6	8
25.5	7
24.7	10
24.8	12.8
26.9	14.4
26.6	12.6
26.9	10.8
28.4	12.5
28.5	12.3
29.2	11.6
28.7	10.8
27.7	9.4
28.6	7.2
28.5	5.8
27	7
26.5	5.5
26	6.8
25.9	6.6
26.4	6.3
28.2	6.6
27.9	7.7
27.5	9.5
17.2	9.9
15.4	10.7
22.2	9.3
24.2	8.6
25.3	10
22.6	10
24.3	9.5
25.3	7.9
25.3	7.5
26.9	7.6
26.5	8.5
26.3	9.4
27.7	9
28.7	9.8
28.4	10.2
28.6	10.3
29.6	10.8
30.5	10
29.6	10
28	7.5
29.1	8.1
28.4	9.2
29	10.4
29.7	10.8
28.7	10.2
28.3	11.5
29.7	12
28.6	13.5
29	13
28.7	12.6
25.8	14.4
28	14.4
28.4	11.4
29.9	11.4
30	11.8
31.4	10.5
30.8	9.8
31.7	11.6
29.3	13
14.3	11.6
18.8	10.6
24.7	10.1
26	9.6
23.3	13.6
27	12.2
26.6	14.4
28.7	13.6
25	14.5
28.7	13.7
31.2	16.9
31.8	12.8
31.5	15.4
30	17.6
31.4	13.5
30.4	13.4
28.5	13.2
30.6	14.5
28.5	14
28.5	17.5
26	16.2
25.2	18.6
25.2	17.8
27.1	16.7
26.8	16.2
26.2	17.2
28.7	15
27.3	19
28.8	18.7
31	17
31	18.2
27	17
27.5	17.5
23.8	17.3
27.4	17.8
28	17.4
28.6	17.2
29	19.2
29.2	20.2
28.5	19.4
29.7	19
28.5	19
30	20
31.5	21
30	20.2
27.6	18.7
29.4	19.6
25.6	19.4
31.2	19.6
27.6	19.5
27	19.8
28.5	20.3
28.6	19.2
26.6	21.3
28.5	20.2
31.4	19.3
31.8	18
32.2	17.4
31	17.8
30.4	17.3
32.1	18.5
31.5	19.2
32.2	18.2
29.8	19
30.7	17.8
29.5	19.7
29.5	19.9
29.4	20.1
29.3	20.1
28.3	21.3
28.5	19.6
28.5	20.6
29	20.4
30.2	20.4
31.4	20.2
31.7	19.8
30.1	20.6
31.1	22
31.4	21.8
27.6	22.2
27.1	21.7
30	21.6
29.8	21.6
31.4	21.6
29.3	21.2
28.7	21.2
28.2	21.2
31	20.7
28.8	20.7
29.6	21
30.1	21.8
29.7	20.5
30.4	20
29.4	20.7
30	21.3
28.9	20.2
29.6	20.5
28.6	20.5
25.5	21.6
28	20.6
29.5	20.4
28.7	19.9
28.9	19.9
29.5	19.8
31.6	20
31	22
29.5	19.7
29	19.6
30	20.7
29.7	20.7
28.8	19.8
28.1	19.8
30.9	20.3
29.5	20
30.4	18
32	20.4
31.5	21.1
31.1	21.3
30.5	20
29.5	21.6
31	19.6
32.2	18.1
31	20.8
27.5	21
30.3	19.6
32	20.8
29.8	20.7
30	20.6
28.5	20.6
27	20.6
25.7	21.1
26	20.2
27.6	19.8
29.2	20
29	19.8
28.4	19.9
30.2	19.8
30	19.9
31.4	18.5
30.4	19.2
30.5	18.6
27.6	18.6
29.5	18.6
27.3	20
22	20.2
23	19.2
26.2	19.4
30.4	19.2
30.1	19.8
31	19
29.7	19
29.6	18
29.8	18.2
31	19.6
31.2	20.5
30.2	19
26.8	19.8
24.5	19.5
24	19
21.6	19
21.7	17.2
28	17
30.2	17.2
30.5	18.9
30.2	17.8
29.6	16.4
29	18.2
31	18.5
30.6	17
29.4	18
28.6	12
29	14.7
28.7	16.7
29	17.6
29.7	16.5
30.5	16.4
29	16.5
27.5	18.2
25.5	16.9
26.5	16.6
28	14.6
28.2	12.7
27.7	13
27	13.4
25.1	13
27	13.5
16.8	11.4
24.5	12.2
22.8	9.4
26.2	8.8
26.2	9.8
27	11
26.6	10.3
26	9.6
26.4	8.9
25.5	9.6
27	10
27.8	10.8
25.8	10.5
24	12.2
26.5	12.8
27	10.2
26.7	10.6
26.7	11
25	8.4
25.2	9.8
26	11.2
24.1	12.2
23	10.6
25	11
26	10
24.7	10
24.8	10.5
24.2	9.4
23.9	8.8
23.5	8.2
22.7	11
20.9	10.5
22	10.4
21	9
22	7.1
21.3	5.4
21.2	4
20.5	3.3
20.3	7.3
20.5	5.2
22.3	3.5
22.2	3.2
20.6	3.4
21	5.6
21.5	5.3
22.5	5.5
23.4	5.7
22	5.5
21.5	6
21.4	4.3
21.2	4.3
8.7	4.6
17.5	5
19	2.8
18	6
20.4	3.4
22	4.4
20.6	4.3
21	4.5
20.2	5.2
22	4.6
21	4.8
21.6	4.6
20.4	3.5
20.9	4
20.3	5
19	5
19	7.7
19.5	7.4
17.8	8.6
20.2	7.5
20.2	7.5
